Age,BMI,Pregnancy Age,Family History,Radiation Exposure,Birth Control,Menstrual Cycle Age,Last Menstrual Cycle Age,Hormone Therapy,Alcohol Consumption,Inherited Gene,Previous History,Hormonal,Dense Breast Tissue,Risk,Consequent,agg,pregage,lm,mc,bi
66.10308431,23.09584218,17.85841584,Present,Low,Moderate,11.9109931,52.01490549,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.275866177,Middle-aged,Young,Middle-aged,Young,High
66.16466247,23.08724392,17.82990099,Present,High,High,11.91008101,52.0250225,Low,None,Absent,Present,Balanced,Absent,Low,0.275408547,Older,Middle-aged,Middle-aged,Young,Low
66.22624062,23.07864566,17.80138614,Present,Moderate,High,11.90916892,52.03513951,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.274950917,Middle-aged,Young,Older,Young,High
66.28781878,23.0700474,17.77287129,Absent,High,High,11.90825683,52.04525653,Low,Low,Absent,None,Imbalanced,Absent,High,0.274493287,Older,Young,Older,Young,Moderate
66.34939694,23.06144914,17.74435644,Absent,Low,Low,11.90734473,52.05537354,Low,Moderate,Present,Present,Balanced,Absent,High,0.274035657,Young,Young,Middle-aged,Young,Moderate
66.4109751,23.05285089,17.71584158,Absent,Moderate,None,11.90643264,52.06549055,Low,High,Absent,Present,Balanced,Present,Moderate,0.273578026,Middle-aged,Middle-aged,Middle-aged,Young,Low
66.47255326,23.04425263,17.68732673,Absent,Low,Low,11.90552055,52.07560756,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.273120396,Middle-aged,Young,Middle-aged,Young,Low
66.53413141,23.03565437,17.65881188,Absent,Low,Low,11.90460846,52.08572457,None,None,Absent,Present,Balanced,Absent,High,0.272662766,Older,Young,Middle-aged,Young,Low
66.59570957,23.02705611,17.63029703,Absent,Moderate,Low,11.90369637,52.09584158,High,Low,Present,None,Imbalanced,Present,Moderate,0.272205136,Young,Young,Older,Young,Moderate
66.65728773,23.01845785,17.60178218,Present,Moderate,Low,11.90278428,52.1059586,High,None,Absent,Present,Imbalanced,Present,Moderate,0.271747506,Young,Young,Middle-aged,Young,Moderate
66.71886589,23.00985959,17.57326733,Present,Moderate,High,11.90187219,52.11607561,None,None,Present,None,Balanced,Absent,Low,0.271289876,Older,Middle-aged,Middle-aged,Young,Moderate
66.78044404,23.00126133,17.54475248,Present,Low,Moderate,11.9009601,52.12619262,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.270832246,Middle-aged,Young,Middle-aged,Young,Low
66.8420222,22.99266307,17.51623762,Absent,Low,High,11.900048,52.13630963,None,High,Absent,None,Balanced,Absent,Moderate,0.270374616,Young,Young,Middle-aged,Young,Low
66.90360036,22.98406481,17.48772277,Present,Moderate,High,11.89913591,52.14642664,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.269916985,Middle-aged,Young,Middle-aged,Young,Moderate
66.96517852,22.97546655,17.45920792,Present,Low,Moderate,11.89822382,52.15654365,None,Moderate,Absent,None,Balanced,Present,Moderate,0.269459355,Middle-aged,Young,Middle-aged,Young,Moderate
67.02675668,22.96686829,17.43069307,Present,High,High,11.89731173,52.16666067,High,Low,Present,None,Balanced,Absent,Low,0.269001725,Middle-aged,Young,Middle-aged,Young,Low
67.08833483,22.95827003,17.40217822,Absent,Moderate,High,11.89639964,52.17677768,Low,High,Present,Present,Balanced,Absent,Moderate,0.268544095,Middle-aged,Young,Older,Young,High
67.14991299,22.94967177,17.37366337,Present,High,Moderate,11.89548755,52.18689469,None,None,Absent,Present,Balanced,Absent,Low,0.268086465,Young,Young,Middle-aged,Young,Low
67.21149115,22.94107351,17.34514851,Absent,Moderate,Low,11.89457546,52.1970117,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.267628835,Young,Young,Middle-aged,Young,High
67.27306931,22.93247525,17.31663366,Present,High,High,11.89366337,52.20712871,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.267171205,Middle-aged,Young,Older,Young,Low
67.33464746,22.92387699,17.28811881,Absent,Moderate,Moderate,11.89275128,52.21724572,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.266713574,Middle-aged,Middle-aged,Middle-aged,Young,Low
67.39622562,22.91527873,17.25960396,Present,Moderate,Low,11.89183918,52.22736274,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.266255944,Older,Young,Middle-aged,Young,High
67.45780378,22.90668047,17.23108911,Absent,Low,Moderate,11.89092709,52.23747975,Moderate,Low,Absent,None,Imbalanced,Present,High,0.265798314,Middle-aged,Young,Middle-aged,Young,Low
67.51938194,22.89808221,17.20257426,Absent,High,Moderate,11.890015,52.24759676,Moderate,High,Present,None,Balanced,Absent,Low,0.265340684,Older,Young,Older,Young,Moderate
67.5809601,22.88948395,17.17405941,Absent,High,High,11.88910291,52.25771377,None,High,Present,None,Imbalanced,Absent,Low,0.264883054,Young,Young,Middle-aged,Young,High
67.64253825,22.88088569,17.14554455,Present,Low,None,11.88819082,52.26783078,None,Moderate,Absent,None,Balanced,Absent,High,0.264425424,Young,Middle-aged,Middle-aged,Young,High
67.70411641,22.87228743,17.1170297,Present,High,None,11.88727873,52.27794779,None,Low,Absent,None,Balanced,Absent,Moderate,0.263967794,Young,Middle-aged,Middle-aged,Young,Low
67.76569457,22.86368917,17.08851485,Present,High,None,11.88636664,52.28806481,Low,High,Present,None,Balanced,Present,High,0.263510163,Young,Young,Middle-aged,Young,Low
67.82727273,22.85509091,17.06,Absent,High,Moderate,11.88545455,52.29818182,None,Moderate,Present,Present,Balanced,Present,Low,0.263052533,Young,Middle-aged,Older,Young,Low
67.88885089,22.84649265,17.03148515,Absent,Low,None,11.88454245,52.30829883,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.262594903,Middle-aged,Middle-aged,Older,Young,High
67.95042904,22.83789439,17.0029703,Present,Moderate,High,11.88363036,52.31841584,Low,None,Absent,Present,Balanced,Absent,High,0.262137273,Young,Young,Middle-aged,Young,Low
68.0120072,22.82929613,16.97445545,Present,Moderate,Moderate,11.88271827,52.32853285,Moderate,Low,Present,None,Balanced,Absent,High,0.261679643,Older,Young,Middle-aged,Young,Low
68.07358536,22.82069787,16.94594059,Present,Moderate,High,11.88180618,52.33864986,None,High,Absent,None,Balanced,Absent,High,0.261222013,Older,Young,Older,Young,Moderate
68.13516352,22.81209961,16.91742574,Present,High,Low,11.88089409,52.34876688,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.260764383,Young,Young,Middle-aged,Young,Moderate
68.19674167,22.80350135,16.88891089,Present,Moderate,Moderate,11.879982,52.35888389,Low,Low,Present,None,Imbalanced,Absent,Low,0.260306753,Middle-aged,Middle-aged,Middle-aged,Young,Low
68.25831983,22.79490309,16.86039604,Present,Moderate,None,11.87906991,52.3690009,Moderate,Low,Present,None,Imbalanced,Present,Low,0.259849122,Young,Middle-aged,Middle-aged,Young,Moderate
68.31989799,22.78630483,16.83188119,Absent,High,Moderate,11.87815782,52.37911791,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.259391492,Young,Young,Middle-aged,Young,Moderate
68.38147615,22.77770657,16.80336634,Present,Low,Moderate,11.87724572,52.38923492,Low,High,Absent,Present,Imbalanced,Present,High,0.258933862,Young,Young,Older,Young,Moderate
68.44305431,22.76910831,16.77485149,Absent,High,Low,11.87633363,52.39935194,High,Moderate,Absent,None,Imbalanced,Present,High,0.258476232,Young,Middle-aged,Middle-aged,Young,Low
68.50463246,22.76051005,16.74633663,Present,Moderate,Low,11.87542154,52.40946895,None,None,Absent,None,Balanced,Present,Moderate,0.258018602,Older,Young,Older,Young,Low
68.56621062,22.75191179,16.71782178,Present,Low,Low,11.87450945,52.41958596,Low,None,Present,Present,Imbalanced,Present,Low,0.257560972,Older,Young,Middle-aged,Young,High
68.62778878,22.74331353,16.68930693,Present,Moderate,None,11.87359736,52.42970297,Low,Low,Present,Present,Balanced,Absent,High,0.257103342,Middle-aged,Middle-aged,Middle-aged,Young,High
68.68936694,22.73471527,16.66079208,Absent,High,High,11.87268527,52.43981998,High,Low,Present,Present,Balanced,Present,Moderate,0.256645711,Young,Young,Middle-aged,Young,High
68.75094509,22.72611701,16.63227723,Absent,High,Moderate,11.87177318,52.44993699,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.256188081,Middle-aged,Middle-aged,Older,Young,Moderate
68.81252325,22.71751875,16.60376238,Absent,Low,None,11.87086109,52.46005401,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.255730451,Middle-aged,Young,Middle-aged,Young,Low
68.87410141,22.70892049,16.57524752,Absent,Moderate,Low,11.86994899,52.47017102,Low,High,Absent,Present,Balanced,Absent,Low,0.255272821,Young,Young,Middle-aged,Young,Moderate
68.93567957,22.70032223,16.54673267,Present,Moderate,High,11.8690369,52.48028803,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.254815191,Young,Young,Older,Young,High
68.99725773,22.69172397,16.51821782,Absent,Moderate,High,11.86812481,52.49040504,None,None,Absent,None,Imbalanced,Absent,Moderate,0.254357561,Young,Young,Older,Young,Low
69.05883588,22.68312571,16.48970297,Present,High,Moderate,11.86721272,52.50052205,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.253899931,Older,Middle-aged,Middle-aged,Young,Moderate
69.12041404,22.67452745,16.46118812,Present,Moderate,Moderate,11.86630063,52.51063906,High,Low,Absent,Present,Imbalanced,Absent,Low,0.2534423,Older,Young,Older,Young,High
69.1819922,22.66592919,16.43267327,Present,High,High,11.86538854,52.52075608,Moderate,None,Absent,None,Balanced,Present,High,0.25298467,Middle-aged,Young,Older,Young,Moderate
69.24357036,22.65733093,16.40415842,Present,Moderate,High,11.86447645,52.53087309,Low,High,Present,Present,Balanced,Present,Moderate,0.25252704,Older,Middle-aged,Older,Young,High
69.30514851,22.64873267,16.37564356,Absent,Low,None,11.86356436,52.5409901,Moderate,High,Absent,Present,Balanced,Present,Low,0.25206941,Older,Young,Older,Young,Low
69.36672667,22.64013441,16.34712871,Present,Moderate,Low,11.86265227,52.55110711,None,None,Present,Present,Balanced,Present,Moderate,0.25161178,Older,Young,Older,Young,Low
69.42830483,22.63153615,16.31861386,Absent,Moderate,Moderate,11.86174017,52.56122412,None,None,Present,Present,Imbalanced,Present,Moderate,0.25115415,Middle-aged,Middle-aged,Middle-aged,Young,High
69.48988299,22.62293789,16.29009901,Present,High,Low,11.86082808,52.57134113,None,High,Absent,Present,Balanced,Absent,High,0.25069652,Young,Young,Older,Young,Low
69.55146115,22.61433963,16.26158416,Present,High,High,11.85991599,52.58145815,Low,Low,Absent,Present,Imbalanced,Present,Low,0.25023889,Middle-aged,Young,Middle-aged,Young,Low
69.6130393,22.60574137,16.23306931,Present,Moderate,None,11.8590039,52.59157516,None,None,Absent,None,Imbalanced,Present,Moderate,0.249781259,Young,Middle-aged,Middle-aged,Young,High
69.67461746,22.59714311,16.20455446,Absent,High,Moderate,11.85809181,52.60169217,Low,None,Present,Present,Balanced,Absent,Moderate,0.249323629,Young,Young,Older,Young,Moderate
69.73619562,22.58854485,16.1760396,Present,Moderate,Low,11.85717972,52.61180918,None,None,Present,None,Imbalanced,Present,Low,0.248865999,Middle-aged,Young,Middle-aged,Young,High
69.79777378,22.57994659,16.14752475,Absent,Low,None,11.85626763,52.62192619,None,Low,Present,Present,Balanced,Present,Low,0.248408369,Middle-aged,Young,Middle-aged,Young,Low
69.85935194,22.57134833,16.1190099,Present,High,None,11.85535554,52.6320432,None,High,Absent,Present,Balanced,Absent,Low,0.247950739,Middle-aged,Young,Middle-aged,Young,High
69.92093009,22.56275008,16.09049505,Present,High,Low,11.85444344,52.64216022,Moderate,Moderate,Present,None,Balanced,Present,Low,0.247493109,Young,Young,Older,Young,Low
69.98250825,22.55415182,16.0619802,Present,High,None,11.85353135,52.65227723,High,None,Present,Present,Imbalanced,Absent,High,0.247035479,Young,Young,Older,Young,Low
70.04408641,22.54555356,16.03346535,Absent,Moderate,None,11.85261926,52.66239424,None,Low,Absent,None,Balanced,Absent,Moderate,0.246577848,Older,Middle-aged,Middle-aged,Young,High
70.10566457,22.5369553,16.0049505,Absent,High,High,11.85170717,52.67251125,None,None,Absent,None,Balanced,Absent,Low,0.246120218,Middle-aged,Young,Middle-aged,Young,High
70.16724272,22.52835704,15.97643564,Absent,Low,High,11.85079508,52.68262826,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.245662588,Older,Young,Middle-aged,Young,Low
70.22882088,22.51975878,15.94792079,Absent,Moderate,Moderate,11.84988299,52.69274527,Low,None,Present,None,Imbalanced,Absent,High,0.245204958,Young,Young,Older,Young,Low
70.29039904,22.51116052,15.91940594,Present,Low,Moderate,11.8489709,52.70286229,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.244747328,Older,Young,Middle-aged,Young,Moderate
70.3519772,22.50256226,15.89089109,Present,Low,High,11.84805881,52.7129793,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.244289698,Young,Young,Middle-aged,Young,Low
70.41355536,22.493964,15.86237624,Absent,High,Low,11.84714671,52.72309631,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.243832068,Older,Young,Middle-aged,Young,High
70.47513351,22.48536574,15.83386139,Present,High,Low,11.84623462,52.73321332,High,None,Absent,Present,Balanced,Absent,Low,0.243374438,Middle-aged,Young,Middle-aged,Young,High
70.53671167,22.47676748,15.80534653,Present,Low,High,11.84532253,52.74333033,None,High,Absent,None,Imbalanced,Present,Low,0.242916807,Young,Middle-aged,Older,Young,Low
70.59828983,22.46816922,15.77683168,Present,Low,None,11.84441044,52.75344734,None,Low,Present,Present,Imbalanced,Absent,Low,0.242459177,Middle-aged,Young,Older,Young,Moderate
70.65986799,22.45957096,15.74831683,Absent,Moderate,Moderate,11.84349835,52.76356436,None,None,Absent,None,Imbalanced,Absent,High,0.242001547,Older,Young,Middle-aged,Young,Moderate
70.72144614,22.4509727,15.71980198,Present,Moderate,Moderate,11.84258626,52.77368137,Low,Low,Absent,Present,Balanced,Present,Low,0.241543917,Older,Young,Middle-aged,Young,Moderate
70.7830243,22.44237444,15.69128713,Absent,Moderate,Low,11.84167417,52.78379838,Low,High,Present,Present,Imbalanced,Present,High,0.241086287,Middle-aged,Middle-aged,Older,Young,Low
70.84460246,22.43377618,15.66277228,Absent,Low,Moderate,11.84076208,52.79391539,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.240628657,Young,Middle-aged,Older,Young,Low
70.90618062,22.42517792,15.63425743,Absent,Moderate,None,11.83984998,52.8040324,None,Low,Absent,None,Balanced,Present,Low,0.240171027,Middle-aged,Young,Older,Young,High
70.96775878,22.41657966,15.60574257,Present,Low,Low,11.83893789,52.81414941,Low,None,Absent,None,Balanced,Present,Low,0.239713396,Middle-aged,Young,Middle-aged,Young,Low
71.02933693,22.4079814,15.57722772,Present,Low,Low,11.8380258,52.82426643,Low,High,Absent,None,Imbalanced,Present,Low,0.239255766,Young,Young,Middle-aged,Young,Low
71.09091509,22.39938314,15.54871287,Absent,High,Low,11.83711371,52.83438344,High,High,Absent,None,Imbalanced,Present,High,0.238798136,Middle-aged,Young,Middle-aged,Young,High
71.15249325,22.39078488,15.52019802,Absent,Low,None,11.83620162,52.84450045,Low,Moderate,Absent,None,Balanced,Absent,Low,0.238340506,Older,Young,Older,Young,High
71.21407141,22.38218662,15.49168317,Present,High,Moderate,11.83528953,52.85461746,Low,None,Present,None,Balanced,Present,Low,0.237882876,Young,Middle-aged,Middle-aged,Young,Low
71.27564956,22.37358836,15.46316832,Present,High,None,11.83437744,52.86473447,High,Moderate,Present,None,Imbalanced,Present,High,0.237425246,Middle-aged,Young,Middle-aged,Young,High
71.33722772,22.3649901,15.43465347,Absent,High,Low,11.83346535,52.87485149,High,High,Present,Present,Imbalanced,Present,Low,0.236967616,Middle-aged,Young,Older,Young,Low
71.39880588,22.35639184,15.40613861,Absent,Low,Low,11.83255326,52.8849685,High,Low,Absent,Present,Imbalanced,Present,High,0.236509985,Older,Middle-aged,Older,Young,High
71.46038404,22.34779358,15.37762376,Absent,Moderate,None,11.83164116,52.89508551,Moderate,High,Absent,None,Balanced,Present,High,0.236052355,Young,Middle-aged,Middle-aged,Young,Moderate
71.5219622,22.33919532,15.34910891,Present,High,None,11.83072907,52.90520252,None,High,Present,Present,Imbalanced,Present,Low,0.235594725,Older,Young,Older,Young,Low
71.58354035,22.33059706,15.32059406,Present,Moderate,Low,11.82981698,52.91531953,High,Low,Present,Present,Balanced,Absent,High,0.235137095,Young,Young,Middle-aged,Young,Moderate
71.64511851,22.3219988,15.29207921,Absent,Moderate,Moderate,11.82890489,52.92543654,High,High,Present,Present,Imbalanced,Absent,Moderate,0.234679465,Older,Middle-aged,Middle-aged,Young,Low
71.70669667,22.31340054,15.26356436,Absent,High,Moderate,11.8279928,52.93555356,Low,High,Absent,None,Imbalanced,Present,Low,0.234221835,Older,Young,Older,Young,Low
71.76827483,22.30480228,15.2350495,Present,Low,Moderate,11.82708071,52.94567057,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.233764205,Young,Young,Older,Young,High
71.82985299,22.29620402,15.20653465,Absent,High,Low,11.82616862,52.95578758,None,Moderate,Absent,None,Balanced,Present,Moderate,0.233306575,Middle-aged,Young,Middle-aged,Young,High
71.89143114,22.28760576,15.1780198,Absent,Moderate,None,11.82525653,52.96590459,Moderate,High,Absent,Present,Imbalanced,Present,High,0.232848944,Young,Young,Middle-aged,Young,High
71.9530093,22.2790075,15.14950495,Present,Low,Low,11.82434443,52.9760216,High,None,Present,Present,Imbalanced,Absent,High,0.232391314,Older,Young,Older,Young,Low
72.01458746,22.27040924,15.1209901,Present,High,Moderate,11.82343234,52.98613861,None,High,Absent,None,Balanced,Present,Low,0.231933684,Middle-aged,Young,Older,Young,Low
72.07616562,22.26181098,15.09247525,Present,Moderate,High,11.82252025,52.99625563,None,Moderate,Absent,Present,Balanced,Present,Low,0.231476054,Young,Young,Older,Young,High
72.13774377,22.25321272,15.0639604,Present,High,None,11.82160816,53.00637264,None,None,Present,Present,Balanced,Absent,Moderate,0.231018424,Older,Young,Middle-aged,Young,High
72.19932193,22.24461446,15.03544554,Present,High,None,11.82069607,53.01648965,None,None,Absent,Present,Balanced,Present,Low,0.230560794,Young,Young,Older,Young,Low
72.26090009,22.2360162,15.00693069,Present,Low,Moderate,11.81978398,53.02660666,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.230103164,Middle-aged,Young,Middle-aged,Young,High
72.32247825,22.22741794,14.97841584,Present,High,High,11.81887189,53.03672367,Low,None,Absent,Present,Balanced,Absent,Low,0.229645533,Older,Middle-aged,Middle-aged,Young,Low
72.38405641,22.21881968,14.94990099,Present,Moderate,High,11.8179598,53.04684068,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.229187903,Middle-aged,Young,Older,Young,High
72.44563456,22.21022142,14.92138614,Absent,High,High,11.8170477,53.0569577,Low,Low,Absent,None,Imbalanced,Absent,High,0.228730273,Older,Young,Older,Young,Moderate
72.50721272,22.20162316,14.89287129,Absent,Low,Low,11.81613561,53.06707471,Low,Moderate,Present,Present,Balanced,Absent,High,0.228272643,Young,Young,Middle-aged,Young,Moderate
72.56879088,22.1930249,14.86435644,Absent,Moderate,None,11.81522352,53.07719172,Low,High,Absent,Present,Balanced,Present,Moderate,0.227815013,Middle-aged,Middle-aged,Middle-aged,Young,Low
72.63036904,22.18442664,14.83584158,Absent,Low,Low,11.81431143,53.08730873,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.227357383,Middle-aged,Young,Middle-aged,Young,Low
72.69194719,22.17582838,14.80732673,Absent,Low,Low,11.81339934,53.09742574,None,None,Absent,Present,Balanced,Absent,High,0.226899753,Older,Young,Middle-aged,Young,Low
72.75352535,22.16723012,14.77881188,Absent,Moderate,Low,11.81248725,53.10754275,High,Low,Present,None,Imbalanced,Present,Moderate,0.226442122,Young,Young,Older,Young,Moderate
72.81510351,22.15863186,14.75029703,Present,Moderate,Low,11.81157516,53.11765977,High,None,Absent,Present,Imbalanced,Present,Moderate,0.225984492,Young,Young,Middle-aged,Young,Moderate
72.87668167,22.1500336,14.72178218,Present,Moderate,High,11.81066307,53.12777678,None,None,Present,None,Balanced,Absent,Low,0.225526862,Older,Middle-aged,Middle-aged,Young,Moderate
72.93825983,22.14143534,14.69326733,Present,Low,Moderate,11.80975098,53.13789379,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.225069232,Middle-aged,Young,Middle-aged,Young,Low
72.99983798,22.13283708,14.66475248,Absent,Low,High,11.80883888,53.1480108,None,High,Absent,None,Balanced,Absent,Moderate,0.224611602,Young,Young,Middle-aged,Young,Low
73.06141614,22.12423882,14.63623762,Present,Moderate,High,11.80792679,53.15812781,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.224153972,Middle-aged,Young,Middle-aged,Young,Moderate
73.1229943,22.11564056,14.60772277,Present,Low,Moderate,11.8070147,53.16824482,None,Moderate,Absent,None,Balanced,Present,Moderate,0.223696342,Middle-aged,Young,Middle-aged,Young,Moderate
73.18457246,22.1070423,14.57920792,Present,High,High,11.80610261,53.17836184,High,Low,Present,None,Balanced,Absent,Low,0.223238712,Middle-aged,Young,Middle-aged,Young,Low
73.24615062,22.09844404,14.55069307,Absent,Moderate,High,11.80519052,53.18847885,Low,High,Present,Present,Balanced,Absent,Moderate,0.222781081,Middle-aged,Young,Older,Young,High
73.30772877,22.08984578,14.52217822,Present,High,Moderate,11.80427843,53.19859586,None,None,Absent,Present,Balanced,Absent,Low,0.222323451,Young,Young,Middle-aged,Young,Low
73.36930693,22.08124752,14.49366337,Absent,Moderate,Low,11.80336634,53.20871287,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.221865821,Young,Young,Middle-aged,Young,High
73.43088509,22.07264926,14.46514851,Present,High,High,11.80245425,53.21882988,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.221408191,Middle-aged,Young,Older,Young,Low
73.49246325,22.06405101,14.43663366,Absent,Moderate,Moderate,11.80154215,53.22894689,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.220950561,Middle-aged,Middle-aged,Middle-aged,Young,Low
73.5540414,22.05545275,14.40811881,Present,Moderate,Low,11.80063006,53.23906391,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.220492931,Older,Young,Middle-aged,Young,High
73.61561956,22.04685449,14.37960396,Absent,Low,Moderate,11.79971797,53.24918092,Moderate,Low,Absent,None,Imbalanced,Present,High,0.220035301,Middle-aged,Young,Middle-aged,Young,Low
73.67719772,22.03825623,14.35108911,Absent,High,Moderate,11.79880588,53.25929793,Moderate,High,Present,None,Balanced,Absent,Low,0.21957767,Older,Young,Older,Young,Moderate
73.73877588,22.02965797,14.32257426,Absent,High,High,11.79789379,53.26941494,None,High,Present,None,Imbalanced,Absent,Low,0.21912004,Young,Young,Middle-aged,Young,High
73.80035404,22.02105971,14.29405941,Present,Low,None,11.7969817,53.27953195,None,Moderate,Absent,None,Balanced,Absent,High,0.21866241,Young,Middle-aged,Middle-aged,Young,High
73.86193219,22.01246145,14.26554455,Present,High,None,11.79606961,53.28964896,None,Low,Absent,None,Balanced,Absent,Moderate,0.21820478,Young,Middle-aged,Middle-aged,Young,Low
73.92351035,22.00386319,14.2370297,Present,High,None,11.79515752,53.29976598,Low,High,Present,None,Balanced,Present,High,0.21774715,Young,Young,Middle-aged,Young,Low
73.98508851,21.99526493,14.20851485,Absent,High,Moderate,11.79424542,53.30988299,None,Moderate,Present,Present,Balanced,Present,Low,0.21728952,Young,Middle-aged,Older,Young,Low
74.04666667,21.98666667,14.18,Absent,Low,None,11.79333333,53.32,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.21683189,Middle-aged,Middle-aged,Older,Young,High
74.10824482,21.97806841,14.15148515,Present,Moderate,High,11.79242124,53.33011701,Low,None,Absent,Present,Balanced,Absent,High,0.216374259,Young,Young,Middle-aged,Young,Low
74.16982298,21.96947015,14.1229703,Present,Moderate,Moderate,11.79150915,53.34023402,Moderate,Low,Present,None,Balanced,Absent,High,0.215916629,Older,Young,Middle-aged,Young,Low
74.23140114,21.96087189,14.09445545,Present,Moderate,High,11.79059706,53.35035104,None,High,Absent,None,Balanced,Absent,High,0.215458999,Older,Young,Older,Young,Moderate
74.2929793,21.95227363,14.06594059,Present,High,Low,11.78968497,53.36046805,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.215001369,Young,Young,Middle-aged,Young,Moderate
74.35455746,21.94367537,14.03742574,Present,Moderate,Moderate,11.78877288,53.37058506,Low,Low,Present,None,Imbalanced,Absent,Low,0.214543739,Middle-aged,Middle-aged,Middle-aged,Young,Low
74.41613561,21.93507711,14.00891089,Present,Moderate,None,11.78786079,53.38070207,Moderate,Low,Present,None,Imbalanced,Present,Low,0.214086109,Young,Middle-aged,Middle-aged,Young,Moderate
74.47771377,21.92647885,13.98039604,Absent,High,Moderate,11.78694869,53.39081908,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.213628479,Young,Young,Middle-aged,Young,Moderate
74.53929193,21.91788059,13.95188119,Present,Low,Moderate,11.7860366,53.40093609,Low,High,Absent,Present,Imbalanced,Present,High,0.213170849,Young,Young,Older,Young,Moderate
74.60087009,21.90928233,13.92336634,Absent,High,Low,11.78512451,53.41105311,High,Moderate,Absent,None,Imbalanced,Present,High,0.212713218,Young,Middle-aged,Middle-aged,Young,Low
74.66244824,21.90068407,13.89485149,Present,Moderate,Low,11.78421242,53.42117012,None,None,Absent,None,Balanced,Present,Moderate,0.212255588,Older,Young,Older,Young,Low
74.7240264,21.89208581,13.86633663,Present,Low,Low,11.78330033,53.43128713,Low,None,Present,Present,Imbalanced,Present,Low,0.211797958,Older,Young,Middle-aged,Young,High
74.78560456,21.88348755,13.83782178,Present,Moderate,None,11.78238824,53.44140414,Low,Low,Present,Present,Balanced,Absent,High,0.211340328,Middle-aged,Middle-aged,Middle-aged,Young,High
74.84718272,21.87488929,13.80930693,Absent,High,High,11.78147615,53.45152115,High,Low,Present,Present,Balanced,Present,Moderate,0.210882698,Young,Young,Middle-aged,Young,High
74.90876088,21.86629103,13.78079208,Absent,High,Moderate,11.78056406,53.46163816,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.210425068,Middle-aged,Middle-aged,Older,Young,Moderate
74.97033903,21.85769277,13.75227723,Absent,Low,None,11.77965197,53.47175518,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.209967438,Middle-aged,Young,Middle-aged,Young,Low
75.03191719,21.84909451,13.72376238,Absent,Moderate,Low,11.77873987,53.48187219,Low,High,Absent,Present,Balanced,Absent,Low,0.209509807,Young,Young,Middle-aged,Young,Moderate
75.09349535,21.84049625,13.69524752,Present,Moderate,High,11.77782778,53.4919892,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.209052177,Young,Young,Older,Young,High
75.15507351,21.83189799,13.66673267,Absent,Moderate,High,11.77691569,53.50210621,None,None,Absent,None,Imbalanced,Absent,Moderate,0.208594547,Young,Young,Older,Young,Low
75.21665167,21.82329973,13.63821782,Present,High,Moderate,11.7760036,53.51222322,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.208136917,Older,Middle-aged,Middle-aged,Young,Moderate
75.27822982,21.81470147,13.60970297,Present,Moderate,Moderate,11.77509151,53.52234023,High,Low,Absent,Present,Imbalanced,Absent,Low,0.207679287,Older,Young,Older,Young,High
75.33980798,21.80610321,13.58118812,Present,High,High,11.77417942,53.53245725,Moderate,None,Absent,None,Balanced,Present,High,0.207221657,Middle-aged,Young,Older,Young,Moderate
75.40138614,21.79750495,13.55267327,Present,Moderate,High,11.77326733,53.54257426,Low,High,Present,Present,Balanced,Present,Moderate,0.206764027,Older,Middle-aged,Older,Young,High
